Day,g__Other,g__Sutterella,g__Faecalibacterium,g__Ruminococcus,g__Paraprevotella,g__Lachnospira,g__Roseburia,g__Oscillospira,g__Pseudobutyrivibrio,g__Phascolarctobacterium,g__Coprococcus,g__Blautia,g__Akkermansia,g__Escherichia_Shigella,g__Bacteroides
5,0.065381572,0,0,0.001474502,0.00280515,0.007624254,0.013774006,0.015032727,0.025785802,0.028590952,0.034021434,0.034021434,0.056246853,0.168884413,0.546356901
10,0.029867479,0,0.027251559,0.001954753,0.002702159,0.027079081,0.007301578,0.008048984,0.017046598,0.051024808,0.005433064,0.014373185,0.019432547,0.062005922,0.726478282
15,0.02616817,0,0.036433033,0.004395096,0.019430951,0.055025445,0.002457784,0.005146889,0.012838307,0.020414064,0.003007171,0.005262549,0.046987046,0.040249827,0.722183669
20,0.039650631,0,0.012962706,0.007833079,0.030327187,0.035907389,0.004089838,0.013309303,0.025890753,0.033723832,0.00384722,0.008803549,0.045230833,0.036531263,0.701892416
25,0.019897075,0,0.021465724,0.006109475,0.07978094,0.027052316,0.005916834,0.009962297,0.023337094,0.029198888,0.00517379,0.006577318,0.032776509,0.016952418,0.715799323
30,0.038162021,0,0.029846013,0.008316008,0.006096057,0.062334825,0.00697699,0.016244406,0.013531132,0.033792593,0.006272244,0.011945453,0.064590014,0.00091617,0.700976074
35,0.035584028,0.012146776,0.119850306,0.022200374,0.004598649,0.065078811,0.014652247,0.011893058,0.025815864,0.067615997,0.003647204,0.012559069,0.002124893,0.049855698,0.552377026
40,0.027224511,0.00454212,0.049116967,0.013936692,0.013287818,0.08457936,0.017547819,0.011030864,0.028352988,0.037296169,0.006121988,0.013372454,0,0.091152739,0.602437511
45,0.049679535,0.016369272,0.049047633,0.02891704,0.004002046,0.060391779,0.008786447,0.020672223,0.019498691,0.039448741,0.008124455,0.016038275,0.007251828,0.063190203,0.608581831
50,0.032098,0.02434486,0.034175841,0.019661963,0.005768336,0.025399287,0.008652504,0.010947434,0.018855637,0.042177082,0.003938595,0.016684757,0.012342999,0.001426578,0.743526128
55,0.039286719,0.031513787,0.052862971,0.031619302,0.000949634,0.031373101,0.01354108,0.016214125,0.029790377,0.055430501,0.00988323,0.018851998,0.022896736,0.000984806,0.644801632
60,0.054559419,0.014946977,0.066936461,0.040705403,0.004046909,0.071810475,0.017723688,0.024547307,0.019141583,0.050896523,0.011136384,0.025492571,0.015833161,0.000236316,0.581986825
65,0.036126908,0.021131398,0.058066447,0.035767734,0.01912601,0.0674349,0.016821311,0.009458246,0.033163723,0.047650404,0.014606405,0.029302604,0.018946423,0.00026938,0.592128105
70,0.022091609,0.009120389,0.045804621,0.009390623,0.004627753,0.0700581,0.020199973,0.00560735,0.010910688,0.016754493,0.00216187,0.008951493,0.001824078,0.000304013,0.772192947
75,0.048546531,0.0246472,0.079566886,0.017266047,0.003121545,0.06604019,0.014437146,0.017948885,0.040027314,0.017948885,0.018209013,0.025362554,0.032548612,0.00191845,0.592410743
80,0.041026705,0.021631844,0.082214842,0.009478345,0.001406762,0.030672017,0.025137217,0.017065634,0.038074812,0.038097874,0.019464047,0.026359485,0.029841797,0.00027674,0.61925188
85,0.055931238,0.008793441,0.084095019,0.013276857,0.004557727,0.028783037,0.014242897,0.010849372,0.037204924,0.02224369,0.024869337,0.023061108,0.000222932,0.000866959,0.671001461
90,0.066813977,0.004981087,0.137410584,0.011722407,0.002434366,0.048986929,0.030785364,0.011460245,0.053518595,0.028837871,0.035878806,0.030448298,0.026852927,0.001910041,0.507958503
95,0.037288136,0.006239688,0.09380531,0.009899505,0.001259937,0.06239688,0.023548823,0.013559322,0.032308385,0.031318434,0.01040948,0.026908655,0.00320984,0,0.647847608
100,0.046957711,0.008267412,0.056949979,0.010378873,0.001635639,0.019092369,0.009784096,0.020876703,0.041872361,0.028698031,0.027954559,0.03464581,0.014453102,0.038601082,0.639832273
