Day,g__Other,g__Anaerotruncus,g__Ruminococcus,g__Anaerostipes,g__Alistipes,g__Pseudobutyrivibrio,g__Roseburia,g__Lachnospiraceae,g__Subdoligranulum,g__Oscillospira,g__Parabacteroides,g__Ruminococcaceae,g__Faecalibacterium,g__Prevotella,g__Bacteroides
15,0.388180024,0.00122314,0.005114947,0.00789481,0.013037556,0.013788119,0.013982709,0.014510883,0.016151002,0.017096155,0.017902316,0.021377144,0.067050288,0.179023156,0.223667751
30,0.10777068,0.00042232,0.021247954,0.001662883,0.018714037,0.024362561,0.040225941,0.021749459,0.009211846,0.013223882,0.027107639,0.012643193,0.072718154,0.00477749,0.62416196
45,0.074681697,0.000452921,0.008555181,0.067384631,0.033038096,0.011650143,0.01829299,0.015726436,0.009385537,0.01358764,0.025816517,0.035126566,0.031729656,0.000478084,0.654093906
60,0.074428352,0.000518737,0.017844545,0.065796572,0.050109972,0.013238162,0.031331701,0.017325808,0.020583475,0.016620326,0.045960078,0.042951405,0.060629954,0.000539486,0.542121426
75,0.093472034,0.000376903,0.012312176,0.031785517,0.038620031,0.027589326,0.0239208,0.025428413,0.019774863,0.015603799,0.02246344,0.023443389,0.046660636,0,0.618548671
90,0.159786678,0.002205015,0.022383468,0.005871494,0.057766268,0.010050767,0.036664786,0.021691195,0.018896467,0.014691554,0.050664069,0.029152351,0.045382288,0.002076817,0.522716784
105,0.327819993,0.000993475,0.090540504,0.004000752,0.019788954,0.034610531,0.043659211,0.011465242,0.043256451,0.010337513,0.021856456,0.022339769,0.040651935,0.084391698,0.244287517
120,0.103446129,0.001307474,0.031348255,0.03358964,0.054011145,0.006786415,0.012452137,0.012887962,0.010739968,0.019767768,0.067677365,0.043924914,0.013448308,0.000280173,0.588332348
135,0.454715603,0.000296722,0.003834566,0.00061627,0.0028531,0.003674792,0.016525153,0.007874555,0.007144161,0.010727655,0.009266868,0.01184607,0.013420981,0.345316352,0.111887154
150,0.099063377,0.001243115,0.101806803,0.011380929,0.03146366,0.017382172,0.051353495,0.044216302,0.028913132,0.014252952,0.027777182,0.051975052,0.059948132,0,0.459223696
165,0.057275639,0.000942034,0.040109695,0.014214239,0.029014633,0.005861542,0.011346271,0.007368796,0.002219012,0.012560447,0.045175742,0.012497645,0.065837677,0.00046055,0.695116079
180,0.07671342,0.001153112,0.037025389,0.004885003,0.032664528,0.018156278,0.028911672,0.016562887,0.010357046,0.018282072,0.028911672,0.03270646,0.120070445,0.000272554,0.573327463
195,0.083384927,0.001547813,0.027916925,0.00205437,0.025524849,0.018939607,0.029858727,0.013592616,0.013564473,0.019024033,0.050205437,0.027494794,0.155850735,0,0.531040693
210,0.148464494,0.001271526,0.018105426,0.001382094,0.025043536,0.005583658,0.01373801,0.015092462,0.014014429,0.022279349,0.043784725,0.035409238,0.054703265,0.000746331,0.600381458
225,0.098336725,0.000707777,0.021786251,0.002654163,0.0301911,0.020813058,0.029151553,0.013160223,0.012054322,0.017252057,0.028443776,0.017296293,0.106454039,0.000663541,0.601035123
240,0.081602165,0.001578487,0.024804803,0.001606675,0.031795248,0.019984779,0.035064972,0.022380697,0.018039857,0.010711165,0.057248358,0.020379401,0.147109395,5.63746E-05,0.527637624
255,0.068164186,0.000952112,0.045666126,0.000740532,0.036462374,0.011531138,0.009626913,0.010579025,0.027117568,0.020205938,0.052401439,0.037273433,0.220854785,0,0.45842443
270,0.503961905,0.001638095,0.035809524,0.002095238,0.025066667,0.003619048,0.007314286,0.003580952,0.009790476,0.015085714,0.03192381,0.023580952,0.030514286,0.078209524,0.227809524
285,0.065194738,0.000781555,0.024651557,0.00081412,0.04819591,0.006675785,0.011430246,0.017357041,0.018920151,0.016184708,0.050345187,0.056760453,0.079132474,0,0.603556077
300,0.044915285,0.000907013,0.046221384,0.000979574,0.017741175,0.006820738,0.005333237,0.008671045,0.00555092,0.012661902,0.043064978,0.033087835,0.021659471,0,0.752385444
