Day,g__Other,g__Bacteroides,g__Haemophilus,g__Streptophyta_Group,g__Peptoniphilus,g__Finegoldia,g__Anaerococcus,g__Staphylococcus,g__Neisseria,g__Pseudomonas,g__Leptotrichia,g__Corynebacterium,g__Streptococcus,g__Fusobacterium,g__Prevotella
15,0.27426367,0.000857265,0.004653726,0.005510991,0.005694691,0.007347988,0.008878819,0.013838712,0.03820954,0.038699406,0.071214255,0.112118058,0.129018431,0.13618272,0.153511726
30,0.323205793,0.005891957,0.0412437,0.005749982,0.020870306,0.029175836,0.036558529,0.11485767,0.019805494,0.015049336,0.002839497,0.230212252,0.119258891,0.017675871,0.017604884
45,0.255996463,0.002210678,0.039018459,0.001658008,0.009671714,0.012158727,0.013153532,0.021277772,0.10743893,0.005305626,0.096993479,0.106388858,0.150215541,0.166408754,0.01210346
60,0.156188,0.00294178,0.04645276,0.232195389,0.023739481,0.025928713,0.041116508,0.111513991,0.040432373,0.118902648,0.005131012,0.094273791,0.082575084,0.011835534,0.006772936
75,0.219508541,0.02487264,0.037159125,0.02921786,0.049295775,0.033712916,0.044051543,0.179802218,0.029068025,0.025022475,0.011387474,0.117770453,0.164519029,0.019778244,0.014833683
90,0.232043076,0.017169562,0.045819364,0.009143554,0.025906736,0.018795083,0.065630397,0.111652951,0.018185513,0.029157777,0.02499238,0.187239663,0.174540282,0.026516306,0.013207355
105,0.042702006,0.002484815,0.006258053,0.001840604,0.066721885,0.08393153,0.107307197,0.15856801,0.005429781,0.003957298,0,0.459322658,0.050800663,0.004325419,0.006350083
120,0.228784368,0.002755684,0.072399324,0.015532035,0.004947705,0.003381975,0.00682658,0.024801152,0.144798647,0.048788126,0.00757813,0.044591971,0.362184506,0.018663493,0.013966306
135,0.226509171,0.183652876,0.029738232,0.0321719,0.008547516,0.007894581,0.027067134,0.090579925,0.022555945,0.014483291,0.002849172,0.094794325,0.223422568,0.011812192,0.023921173
150,0.219798976,0,0.00246539,0.496301915,0.002275744,0.000758581,0.001327518,0.004361843,0.002275744,0.252228333,0,0.009482268,0.006258297,0.000758581,0.001706808
165,0.312151428,0.001014027,0.030589826,0.035659963,0.038364036,0.025350684,0.031265844,0.101402738,0.023153625,0.020787561,0.010985297,0.242521548,0.100557715,0.008450228,0.017745479
180,0.401817376,0.000443262,0.024379433,0.057180851,0.024601064,0.017952128,0.027039007,0.066710993,0.0625,0.013962766,0.022606383,0.086657801,0.15447695,0.023049645,0.01662234
195,0.452368736,0.000342056,0.006499059,0.148965281,0.004788781,0.001710279,0.002907474,0.009748589,0.002565418,0.110312981,0.001368223,0.014879425,0.237215666,0.00239439,0.003933641
210,0.328695652,0.004057971,0.033043478,0.05942029,0.036231884,0.033623188,0.032173913,0.080289855,0.007536232,0.012753623,0.017101449,0.225507246,0.090724638,0.014782609,0.024057971
225,0.204553603,0.000896379,0.003226963,0.237898888,0.001075654,0.001075654,0.001075654,0.005916099,0.00125493,0.524381499,0.000717103,0.00376479,0.010756544,0.001792757,0.001613482
240,0.339946118,0.000979672,0.010041636,0.286064169,0.008572128,0.007347539,0.02277737,0.069801616,0.007347539,0.108988489,0.006367867,0.058535391,0.047759001,0.007102621,0.018368846
255,0.331155433,0.001031637,0.0130674,0.007221458,0.068431912,0.030949106,0.035075653,0.020976616,0.007221458,0.008253095,0.003094911,0.411966988,0.044016506,0.006877579,0.010660248
270,0.281553398,0.002343488,0.019082692,0.011047874,0.037161031,0.049882826,0.038834951,0.044191496,0.007030465,0.018747908,0.003347841,0.353531972,0.097087379,0.008369602,0.027787077
285,0.247111442,0.000745434,0.014535967,0.015281401,0.111442415,0.054416698,0.065970928,0.13529631,0.027581066,0.010063362,0,0.221766679,0.084234066,0.004472605,0.007081625
300,0.149507389,0.000492611,0.020935961,0.003940887,0.030295567,0.022413793,0.030049261,0.12955665,0.024137931,0.008128079,0.001970443,0.455172414,0.095320197,0.008374384,0.019704433
