Day,g__Other,g__Staphylococcus,g__Corynebacterium,g__Lachnoanaerobaculum,g__Leptotrichia,g__Actinomyces,g__Porphyromonas,g__Neisseria,g__Granulicatella,g__Fusobacterium,g__Veillonella,g__Streptococcus,g__Rothia,g__Prevotella,g__Haemophilus,,,,,,,,,,,,,,,,,,,,,
4,0.023431321,0.000300346,0.000150173,0.00285328,0.00360415,0.00840968,0.00991141,0.00828954,0.0328878,0.0383591,0.0433999,0.0618712,0.0444011,0.216249,0.505882,,,,,,,,,,,,,,,,,,,,,
5,0.03968488,0.00020165,0,0.00645279,0.00705774,0.00665444,0.0421448,0.0144583,0.0105866,0.101768,0.0821723,0.0324152,0.0126703,0.121393,0.52234,,,,,,,,,,,,,,,,,,,,,
17,0.068315796,0.000622014,0,0.0118183,0.0127513,0.0108852,0.112429,0.0673952,0.0139953,0.0981875,0.113051,0.062318,0.00958939,0.134511,0.284131,,,,,,,,,,,,,,,,,,,,,
60,0.068068362,0.000518938,0,0.012195,0.00729757,0.00856248,0.151887,0.0838015,0.0157303,0.181941,0.0688566,0.0635505,0.00997875,0.100106,0.227506,,,,,,,,,,,,,,,,,,,,,
72,0.04517794,0.00035356,0,0.013833,0.0168383,0.0272241,0.122464,0.0757348,0.00764574,0.191804,0.0740267,0.068973,0.00835286,0.1161,0.231472,,,,,,,,,,,,,,,,,,,,,
114,0.052374037,0.000901149,0.000422414,0.011377,0.0130667,0.0212333,0.101943,0.0830972,0.0222471,0.177065,0.0790758,0.134045,0.0114146,0.0967327,0.195005,,,,,,,,,,,,,,,,,,,,,
129,0.105547336,0.00100553,0.000678734,0.0132227,0.0354953,0.017999,0.0613375,0.0782631,0.0168929,0.164626,0.0629463,0.194826,0.0123848,0.0941178,0.140657,,,,,,,,,,,,,,,,,,,,,
147,0.12828325,0.00156004,0.00149846,0.0245912,0.032022,0.0201574,0.031283,0.0775041,0.0217585,0.15922,0.0474582,0.163538,0.00563805,0.0746358,0.210852,,,,,,,,,,,,,,,,,,,,,
151,0.18020042,0.00220297,0.00245331,0.026636,0.0324438,0.0234316,0.031843,0.0648876,0.0180243,0.122712,0.0761027,0.15574,0.00741,0.0727983,0.183114,,,,,,,,,,,,,,,,,,,,,
310,0.21554228,0.024468,0.0350003,0.00434986,0.0234409,0.00966636,0.010633,0.0853379,0.0376988,0.0264133,0.0654896,0.257999,0.023602,0.0219507,0.158408,,,,,,,,,,,,,,,,,,,,,
314,0.17836916,0.0481069,0.0572337,0.00412771,0.0208678,0.00848473,0.0174281,0.0561368,0.027518,0.0167134,0.0924147,0.318957,0.0240783,0.0269447,0.102619,,,,,,,,,,,,,,,,,,,,,
322,0.2595397,0.0861275,0.111085,0.00230989,0.0155393,0.00577473,0.0144893,0.0546814,0.0187311,0.0270922,0.0272987,0.276018,0.00902958,0.0161272,0.0761564,,,,,,,,,,,,,,,,,,,,,
329,0.341375281,0.164524,0.108921,0.000476329,0.013099,0.00381063,0.00809759,0.0380587,0.0152425,0.011023,0.0104792,0.216087,0.00754187,0.0102173,0.0510466,,,,,,,,,,,,,,,,,,,,,
330,0.376356615,0.147786,0.13738,0.000725705,0.00290282,0.00338662,0.0299958,0.0134981,0.0142722,0.0140747,0.0179007,0.17523,0.00604754,0.0248836,0.0355596,,,,,,,,,,,,,,,,,,,,,
342,0.53415007,0.105198,0.152623,0,0.00151713,0.00242741,0.0124405,0.00588646,0.00364111,0.00630115,0.00788908,0.127267,0.00262969,0.0236672,0.0143622,,,,,,,,,,,,,,,,,,,,,
346,0.320987542,0.324417,0.136792,0.000554748,0.00332849,0.013314,0.0113723,0.00782195,0.00693435,0.0037538,0.0074891,0.101519,0.00480782,0.0261656,0.0307423,,,,,,,,,,,,,,,,,,,,,
356,0.30916795,0.231983,0.220321,0,0.00135805,0.00135805,0.0076051,0.00304204,0.00353094,0.00498405,0.0119509,0.174188,0.00642812,0.0058849,0.0181979,,,,,,,,,,,,,,,,,,,,,
