Day,g__Other,g__Leptotrichia,g__Haemophilus,g__Anaerococcus,g__Porphyromonas,g__Streptophyta,g__Prevotella,g__Lactobacillus,g__Fusobacterium,g__Pasteurellaceae,g__Staphylococcus,g__Acinetobacter,g__Corynebacterium,g__Streptococcus,g__Pseudomonas
5,0.444073332,0.001410228,0.010539598,0.01091071,0.012172493,0.014992949,0.021004973,0.022192533,0.025903659,0.02946634,0.052475321,0.058487345,0.058784235,0.060565576,0.177020708
10,0.181603309,0.003873679,0.015954304,0.015232092,0.008863502,0.201496947,0.021863305,0.112927582,0.028691484,0.005055479,0.020681505,0.169325717,0.089028954,0.100912612,0.024489528
15,0.252520538,0.005927931,0.028146004,0.066047423,0.024878641,0.005927931,0.052931292,0.022731516,0.038321509,0.011622479,0.038088125,0.17975168,0.075009335,0.167289022,0.030806572
20,0.256463623,0.001803802,0.01461542,0.064289348,0.012626613,0.00277508,0.025993247,0.060311734,0.007261459,0.017621757,0.044725036,0.110679432,0.286110726,0.07441839,0.020304334
25,0.312955337,0.006208426,0.019068736,0.022743111,0.01184669,0.008045613,0.022426354,0.043839088,0.018561926,0.004751346,0.036617041,0.139879633,0.23161229,0.088628445,0.032815965
30,0.210462351,0.000686922,0.010303831,0.054848085,0.016380449,0.005125495,0.019656539,0.035455746,0.01347424,0.012628798,0.125653897,0.076195509,0.378916777,0.027424042,0.012787318
35,0.295977918,0.000394322,0.027050473,0.011829653,0.013722397,0.009542587,0.00615142,0.010962145,0.01466877,0.018138801,0.035962145,0.390615142,0.043533123,0.068533123,0.052917981
40,0.301392891,0.105955812,0.029106628,0.008213256,0.015802113,0.015129683,0.009173871,0.006147935,0.225696446,0.028722382,0.024399616,0.112632085,0.045725264,0.053842459,0.018059558
45,0.381029324,0.147217235,0.026032316,0.006941951,0.033273489,0.006104129,0.022022741,0.006223818,0.205385996,0.026810293,0.008318372,0.037881508,0.037103531,0.038300419,0.017354877
50,0.338723495,0.10741058,0.036196188,0.008192332,0.034054401,0.007067895,0.011833369,0.01011994,0.136806597,0.055365175,0.01863354,0.069608053,0.041390019,0.105697151,0.018901264
55,0.259434991,0.024051047,0.017179319,0.012870855,0.010962042,0.02377836,0.013797993,0.014834206,0.043902705,0.027868674,0.041884817,0.165303229,0.062990838,0.136943717,0.144197208
60,0.376003,0.087964004,0.050018748,0.018222722,0.013648294,0.06104237,0.008923885,0.010348706,0.083539558,0.022347207,0.022047244,0.010048744,0.09103862,0.057742782,0.087064117
65,0.273558577,0.033074045,0.019060626,0.019476278,0.008847456,0.176592839,0.010510065,0.008194288,0.027729945,0.015260376,0.03550858,0.033845971,0.094115551,0.124933199,0.119292204
70,0.356531302,0.029377111,0.020186945,0.009033069,0.014138717,0.013039039,0.007305004,0.010525489,0.028827272,0.02395727,0.012253554,0.34262823,0.038253083,0.046500668,0.047443249
75,0.39744785,0.040904324,0.083265354,0.016606456,0.021034844,0.011129239,0.017014334,0.008565435,0.038981471,0.062172241,0.036767277,0.013168628,0.097774152,0.134308356,0.02086004
80,0.452179345,0.090505275,0.126457524,0.010063853,0.009369795,0.026929484,0.025541366,0.006524153,0.021029983,0.023736813,0.028456413,0.008675736,0.064825097,0.088006663,0.017698501
85,0.450319854,0.039380245,0.048242268,0.028522801,0.046598979,0.036621867,0.034626445,0.020188978,0.025353601,0.03280709,0.035330712,0.014085334,0.066729268,0.094019602,0.027172956
90,0.373697506,0.041942953,0.049889485,0.019155878,0.014472161,0.070466267,0.031312493,0.014366909,0.072255552,0.040153668,0.031786128,0.032943901,0.083938533,0.061940848,0.061677718
95,0.671121546,0.007043525,0.012822828,0.003160556,0.046144121,0.023749323,0.031334658,0.011061947,0.066326531,0.028038649,0.007946541,0.005508398,0.030747697,0.037791223,0.017202456
100,0.281450595,0.017940418,0.037801064,0.021726011,0.030613924,0.045756296,0.037362155,0.014758326,0.027486696,0.029790969,0.034948154,0.009491414,0.053985845,0.238711801,0.118176332
